Sample: NiMnInSn
time          time2         time3         T control     T sample      Field (T)
05:54:14      05:54:14      05:54:14      255.001       250.705       0.0000
05:54:15      05:54:15      05:54:15      255.000       250.703       0.0000
05:54:16      05:54:16      05:54:16      255.002       250.705       0.0000
05:54:17      05:54:17      05:54:17      255.002       250.705       0.0000
05:54:18      05:54:18      05:54:18      255.001       250.706       0.0000
05:54:19      05:54:19      05:54:19      255.001       250.707       0.0000
05:54:20      05:54:20      05:54:20      255.001       250.710       0.0000
05:54:21      05:54:21      05:54:21      255.001       250.708       0.0000
05:54:22      05:54:22      05:54:22      255.001       250.707       0.0000
05:54:23      05:54:23      05:54:23      255.000       250.710       0.0000
05:54:24      05:54:24      05:54:24      255.000       250.706       0.0000
05:54:25      05:54:25      05:54:25      255.000       250.706       0.0000
05:54:26      05:54:26      05:54:26      254.999       250.702       0.0000
05:54:27      05:54:27      05:54:27      254.999       250.702       0.0000
05:54:28      05:54:28      05:54:28      255.000       250.700       0.0000
05:54:29      05:54:29      05:54:29      255.001       250.699       0.0000
05:54:31      05:54:31      05:54:31      255.001       250.704       0.0000
05:54:32      05:54:32      05:54:32      255.001       250.703       0.0000
05:54:33      05:54:33      05:54:33      255.002       250.700       0.0000
05:54:34      05:54:34      05:54:34      255.002       250.704       0.0000
05:54:35      05:54:35      05:54:35      255.002       250.700       0.0000
05:54:36      05:54:36      05:54:36      255.001       250.701       0.0000
05:54:37      05:54:37      05:54:37      255.001       250.703       0.0000
05:54:38      05:54:38      05:54:38      255.001       250.703       0.0000
05:54:39      05:54:39      05:54:39      255.000       250.701       0.0000
05:54:40      05:54:40      05:54:40      255.000       250.699       0.0000
05:54:41      05:54:41      05:54:41      255.001       250.700       0.0000
05:54:42      05:54:42      05:54:42      255.001       250.695       0.0000
05:54:43      05:54:43      05:54:43      254.999       250.700       0.0000
05:54:44      05:54:44      05:54:44      255.000       250.702       0.0000
05:54:45      05:54:45      05:54:45      255.000       250.700       0.0000
05:54:46      05:54:46      05:54:46      255.000       250.702       0.0000
05:54:47      05:54:47      05:54:47      255.000       250.698       0.0000
05:54:48      05:54:48      05:54:48      255.000       250.697       0.0000
05:54:50      05:54:50      05:54:50      254.999       250.699       0.0000
05:54:51      05:54:51      05:54:51      255.000       250.699       0.0000
05:54:52      05:54:52      05:54:52      255.000       250.701       0.0000
05:54:53      05:54:53      05:54:53      255.000       250.701       0.0000
05:54:54      05:54:54      05:54:54      254.999       250.701       0.0000
05:54:55      05:54:55      05:54:55      255.000       250.698       0.0000
05:54:56      05:54:56      05:54:56      255.000       250.699       0.0000
05:54:57      05:54:57      05:54:57      255.000       250.700       0.0000
05:54:58      05:54:58      05:54:58      255.000       250.696       0.0000
05:54:59      05:54:59      05:54:59      255.000       250.697       0.0000
05:55:00      05:55:00      05:55:00      255.000       250.696       0.0000
05:55:01      05:55:01      05:55:01      255.000       250.698       0.0000
05:55:02      05:55:02      05:55:02      255.000       250.695       0.0000
05:55:03      05:55:03      05:55:03      255.001       250.697       0.0000
05:55:04      05:55:04      05:55:04      255.000       250.697       0.0000
05:55:05      05:55:05      05:55:05      255.001       250.696       0.0000
05:55:06      05:55:06      05:55:06      255.001       250.696       0.0000
05:55:07      05:55:07      05:55:07      255.001       250.694       0.0000
05:55:08      05:55:08      05:55:08      255.001       250.692       0.0000
05:55:09      05:55:09      05:55:09      255.001       250.689       0.0000
05:55:11      05:55:11      05:55:11      255.001       250.690       0.0000
05:55:12      05:55:12      05:55:12      255.000       250.688       0.0000
05:55:13      05:55:13      05:55:13      254.999       250.680       0.0000
05:55:14      05:55:14      05:55:14      255.000       250.684       0.0000
05:55:15      05:55:15      05:55:15      255.000       250.686       0.0000
05:55:16      05:55:16      05:55:16      255.000       250.688       0.0000
05:55:17      05:55:17      05:55:17      254.999       250.691       0.0000
05:55:18      05:55:18      05:55:18      255.000       250.691       0.0000
05:55:19      05:55:19      05:55:19      254.999       250.695       0.0000
05:55:20      05:55:20      05:55:20      254.999       250.695       0.0000
05:55:21      05:55:21      05:55:21      254.999       250.696       0.0000
05:55:22      05:55:22      05:55:22      254.999       250.697       0.0000
05:55:23      05:55:23      05:55:23      254.999       250.694       0.0000
05:55:24      05:55:24      05:55:24      254.999       250.691       0.0000
05:55:25      05:55:25      05:55:25      254.999       250.686       0.0000
05:55:26      05:55:26      05:55:26      254.999       250.685       0.0000
05:55:27      05:55:27      05:55:27      254.999       250.689       0.0000
05:55:29      05:55:29      05:55:29      254.999       250.685       0.0000
05:55:30      05:55:30      05:55:30      254.999       250.688       0.0000
05:55:31      05:55:31      05:55:31      254.999       250.687       0.0000
05:55:32      05:55:32      05:55:32      255.001       250.689       0.0000
05:55:33      05:55:33      05:55:33      255.001       250.687       0.0000
05:55:34      05:55:34      05:55:34      255.000       250.685       0.0000
05:55:35      05:55:35      05:55:35      254.999       250.687       0.0000
05:55:36      05:55:36      05:55:36      255.001       250.685       0.0000
05:55:37      05:55:37      05:55:37      255.001       250.683       0.0000
05:55:38      05:55:38      05:55:38      255.000       250.681       0.0000
05:55:39      05:55:39      05:55:39      255.000       250.678       0.0000
05:55:40      05:55:40      05:55:40      254.999       250.678       0.0000
05:55:41      05:55:41      05:55:41      255.000       250.678       0.0000
05:55:42      05:55:42      05:55:42      255.001       250.677       0.0000
05:55:43      05:55:43      05:55:43      255.001       250.678       0.0000
05:55:44      05:55:44      05:55:44      254.999       250.676       0.0000
05:55:45      05:55:45      05:55:45      254.999       250.679       0.0000
05:55:46      05:55:46      05:55:46      254.999       250.676       0.0000
05:55:47      05:55:47      05:55:47      254.999       250.676       0.0000
05:55:48      05:55:48      05:55:48      254.999       250.672       0.0000
05:55:49      05:55:49      05:55:49      254.997       250.673       0.0000
05:55:51      05:55:51      05:55:51      254.997       250.669       0.0000
05:55:52      05:55:52      05:55:52      254.996       250.670       0.0000
05:55:53      05:55:53      05:55:53      254.996       250.673       0.0000
05:55:54      05:55:54      05:55:54      254.997       250.673       0.0000
05:55:55      05:55:55      05:55:55      254.998       250.667       0.0000
05:55:56      05:55:56      05:55:56      254.999       250.668       0.0000
05:55:57      05:55:57      05:55:57      254.999       250.672       0.0000
05:55:58      05:55:58      05:55:58      255.000       250.673       0.0000
05:55:59      05:55:59      05:55:59      255.001       250.672       0.0000
05:56:00      05:56:00      05:56:00      255.000       250.671       0.0000
05:56:01      05:56:01      05:56:01      255.000       250.670       0.0000
05:56:02      05:56:02      05:56:02      255.000       250.672       0.0000
05:56:03      05:56:03      05:56:03      254.999       250.669       0.0000
05:56:04      05:56:04      05:56:04      254.999       250.668       0.0000
05:56:05      05:56:05      05:56:05      255.000       250.668       0.0000
05:56:06      05:56:06      05:56:06      255.000       250.669       0.0000
05:56:07      05:56:07      05:56:07      255.000       250.675       0.0000
05:56:08      05:56:08      05:56:08      255.000       250.677       0.0000
05:56:10      05:56:10      05:56:10      255.000       250.679       0.0000
05:56:11      05:56:11      05:56:11      255.000       250.678       0.0000
05:56:12      05:56:12      05:56:12      255.001       250.678       0.0000
05:56:13      05:56:13      05:56:13      254.999       250.676       0.0000
05:56:14      05:56:14      05:56:14      255.000       250.677       0.0000
05:56:15      05:56:15      05:56:15      255.001       250.677       0.0000
05:56:16      05:56:16      05:56:16      255.000       250.679       0.0000
05:56:17      05:56:17      05:56:17      254.999       250.679       0.0000
05:56:18      05:56:18      05:56:18      255.000       250.681       0.0000
05:56:19      05:56:19      05:56:19      255.000       250.680       0.0000
05:56:20      05:56:20      05:56:20      255.000       250.677       0.0000
05:56:21      05:56:21      05:56:21      255.000       250.679       0.0000
05:56:22      05:56:22      05:56:22      255.000       250.677       0.0000
05:56:23      05:56:23      05:56:23      255.000       250.677       0.0000
05:56:24      05:56:24      05:56:24      254.999       250.675       0.0000
05:56:25      05:56:25      05:56:25      255.000       250.676       0.0000
05:56:26      05:56:26      05:56:26      255.000       250.674       0.0000
05:56:27      05:56:27      05:56:27      255.000       250.670       0.0000
05:56:29      05:56:29      05:56:29      255.000       250.674       0.0000
05:56:30      05:56:30      05:56:30      254.999       250.672       0.0000
05:56:31      05:56:31      05:56:31      255.000       250.670       0.0000
05:56:32      05:56:32      05:56:32      255.001       250.668       0.0000
05:56:33      05:56:33      05:56:33      255.000       250.666       0.0000
